symptom,cnt
"feeling dizzy, light headed, faint, unsteady",129992
external motivation for wellness,128928
excessive time & effort spent to obtain substance,127097
repetitive behaviors,126505
deficits in functional academic skills,122302
deficits in self-direction,122258
marked distress in excess of what would be expected from stressor,120828
chronic feelings of emptiness and loneliness,120788
grossly disorganized or catatonic behavior,119529
maladaptive pattern of opioid use,117875
deficits in self-care,117195
Supportive Environment,116387
continued use despite social problems,112566
client has tried to quit by themself,111631
"nausea, abdominal distress",110516
decreased functioning,110152
B12 Deficiency,108972
attempts to ignore or suppress thoughts,107666
recurrent thoughts are not excessive worries,107460
failure to fulfill obligation at home,107249
deficits in work,106608
persecutory delusions,105476
deficits in communication,105466
negative communication,104868
nervousness,104432
failure to develop peer relationships,104401
change in behavior related to panic attacks,103187
anhedonia,103173
anticipatory anxiety- worry about panic attacks,102683
continued use despite knowledge of psychological problems,102082
deficits in home living,101132
tearfulness,100745
lack of social or emotional reciprocity,99810
unstable relationships switch between idealizing and devaluing people,99680
inappropriate intense anger,98967
enduring pattern is inflexible and pervasive,98535
"impulsive, self-destructive (i.e. spending, sex, substance abuse, reckless driving, binge eating)",98210
worry of the implications of panic attacks,96878
deficits in use of community resources,94480
deficits in safety,93017
Suicidal ideation,92425
"marked impairment in nonverbal behaviors (eye to eye gaze, facial expression, body posture)",89187
"recurrent para-suicidal gestures, self-mutilation",85770
fear of dying,85334
frantic efforts to avoid abandonment,85286
"chills, hot flashes",84528
client is likely to continue to use,84468
insight that thoughts are a product of ones own mind,84070
worthlessness,83651
Expulsion,83046
client believes in treatment,82630
Have/had medical problems,82542
continued use despite knowledge of physical problems,81897
acknowledges MI problems,79361
acknowledges SA problems,79361
"AOD use interferes with social, occupational or recreational activites",79361
continue AOD use despite psychological problems,79361
continue AOD use despite physical problems,79361
experience AOD use consequences,79313
hides AOD use,79313
use larger amounts of AOD than intended,79286
unsuccessful attempts for AOD recovery,79286
place self/others in dangerous situations due to AOD,79286
social problems due to AOD use,79286
neglect obligations due to AOD,79285
others complain about AOD use,79285
Ever been bullied,79284
recieving Opiod Replacement Therapy,79284
Sexually Active,79284
current living environment is drug free,79284
legal problems due to AOD use,79284
In School Suspension,79284
Receives Special Education Services,79284
need more AOD to get the same high,79284
increase amount of time in AOD activities,79284
Use birth control or protection during sex,79284
feeling of hopelessness,77480
Unplanned Pregnancy,77424
feeling of choking,77422
increased sweating,76453
agitation,75800
deficits in leisure,74884
mood lability,74279
marked distress,73433
"paresthesias (numbness, tingling sensations)",70657
other parent child relationship problem,70497
delays in social communication,68892
hopelessness,68625
lack of spontaneous seeking to share enjoyment,68340
transient stress related dissociative symptoms or psychotic symptoms,68275
distorted communication,67458
unemployment,67243
a fear of separation (child),67167
gang involvement,67024
tremors,66946
client is likely to relapse,66517
panic attacks,65957
lies to avoid obligations,64414
nausea/ vomiting,63457
Family history of substance abuse,63058
"derealization, depersonalization",62947
other sexual problems,62792
uncertain about sexual orientation,62435
minimization of illness,62354
preoccupation with restricted pattern of interest,61334
failure to fulfill obligations at work,60743
maladaptive pattern of amphetamine use,60568
parole,59891
often initiates physical fights,59823
"often bullies, threatens or intimidates others",59756
DUI / DWI,59549
crying spells,59060
"inflexible adherence to specific, nonfunctional routines or rituals",59030
tolerance - markedly diminished effect,58915
grandiose delusions,58341
continued use despite psychological problem,57850
family believes in treatment,57097
deficits in health,56948
inadequate discipline,56716
blackouts,56594
maladaptive pattern of multiple at least three substances (not caffeine or nicotine),54539
sleep disruption,54108
irritability/out burst of anger,53094
failure to fulfill obligation at school,53012
obsessions,52605
nightmares,52540
poor appetite or overeating,51590
maladaptive pattern of cocaine use,51377
depression,51335
increase in goal directed activity,50864
shakiness,50852
identity disturbance of self image sexual identity,49981
Suspension,49855
in children a fear of separation,49704
behavioral problems,49630
personality change,49431
delays in social interactions or language or social communication prior to age 3,48840
isolation,48838
violation of the law/rules,48314
situations are avoided,48070
anxiety about being in places where escape is impossible,48012
withdrawal - take substance to avoid symptoms,47960
client believes moderate use of substance is possible,47848
increased hand tremor,47366
jittery,47285
fear,47192
racing thoughts,47004
paranoia,46757
suspension,46681
"pervasive pattern of instability of interpersonal relationship, self-image and affect",46279
stole items without confronting a victim,45825
failure to eat adequately with failure to gain weight or weight loss,45328
homelessness,45183
helpless,43371
discrete period of intense fear,43336
excessive worry or anxiety,43089
hopeless,43044
somatic delusions,42459
compulsions,42117
religious delusions,42011
physically cruel to people,41976
unrealistic expectations,41668
episodes of assaulting others,41557
anger/behavior is out of proportion to precipitating stressors,41270
restlessness,41162
delays in language,41119
stereotyped and repetitive motor mannerisms (hand flapping),41081
tactile hallucinations,41066
continued use despite medical problem,40655
"pervasive pattern interpersonal deficits, reduced capacity for relationships, perceptual distortions and odd behavior",40250
poor impulse control,39687
diminished interest,39572
non-compliance with treatment,38899
"reduction in social, occupational activities",38882
"pervasive pattern of social inhibition, feeling of inadequacy",38573
muscle ache,38426
agoraphobia,38311
often truant from school,37182
episodes of property destruction,36836
impaired judgment,36598
Court actions pending,36567
recurrent failure to resist aggressive impulses,36501
irritable,36464
sexual abuse of a child,36145
deliberately destroyed other's property (other than by fire setting),35713
enduring pattern of inner experience and behavior that deviates form individual culture,35603
Financial,35268
deprivation,35235
traumatic experience,35055
minimization of blame,35019
guilty delusions,34827
irritable mood,34658
grandiosity,34204
fatigue,34024
violation of others,33781
repeated substance use,32841
significant preoccupation with substance,32580
unsuccessful efforts to reduce,32234
grief,31837
seizures,31686
maladaptive pattern of nicotine use,31367
disorganized behavior,31155
phobic situation is avoided,31003
unspecified delusions,30912
diarrhea,30672
significant substance cravings,30542
anhedonia/reduced interest,30240
flashbacks,30240
binge eating,30149
history of arrest,30018
no communication,29991
impulsive,29846
underachievement,29631
disturbance in executive functioning,29563
often stays out at night despite parental prohibitions,29340
hypersomnia,29013
repeated changes of caretaker preventing formation of stable attachments,28950
recognizes fear is excessive,28804
academic problems,28626
jealous delusions,28625
other academic problems,28584
palpitations,28352
preoccupation with parts of objects,28341
ambivalent/contradictory social responses,28119
persistent auditory hallucinations,27702
Exposure to AOD in peer environment,27635
drug abuse,27520
extensive guilt,27515
mania,27345
marked impairment in ability to initiate or sustain conversation,26746
Few Friends,26200
occupational impairment,26092
ran away from home overnight,26072
caretaker disregard of basic physical needs,25938
phobias,25728
erotic delusions,25514
physically abused,25146
severe disturbance in eating behavior,24960
etiology of psychosis is unknown,24947
delay in or absence of spoken language development,24616
pervasive pattern of excessive emotion and attention seeking,24486
caretaker disregard of basic emotional needs,24111
decreased appetite,23747
other child neglect,23398
"marked, persistent fear of public social performance",23338
physically cruel to animals,23330
olfactory hallucinations,23268
pervasive pattern of detachment from social relationships and restricted range of affect,23117
slurred speech,21827
"irritable and aggressive ('physical fights, inappropriate anger)",21790
Parent-Child Relational Problem,21614
loss of interest in activities,21593
isolated,21508
Exposure to physical assault,21494
personality change impulse control,21344
Arguing,21276
lack of control over eating,21198
drug related crimes,21156
decreased in ADL's,21121
failure to conform to social norms repeated unlawful acts,20917
reckless disregard for safety of others or self,20914
overprotection,20759
Economic Status Poor,20654
emotional neglect,20629
grossly disorganized behavior,20365
sad mood,20308
broke into someone's house/building/car,20295
used a weapon that can cause serious physical harm,20268
mixed delusions,20229
cramps,20122
"Sleep disturbance (difficulty falling or staying asleep or restless, unsatisfying sleep).",20053
decreased energy,19973
"loss of interest, partial",19585
cravings,19483
believes moderate use of substance is possible,19322
gustatory hallucinations,19119
maladaptive pattern of sedative-hypnotic use,19079
social withdrawal,19032
absence of high school diploma (GED),18776
Death of a family member,18691
nocturnal enuresis,18474
arrest or incarceration,18429
Parole,18412
memory impairment,18315
reduced interest,18212
accelerated heart rate,18102
impulsivity of failure to plan ahead,17975
pervasive pattern of wanting to be taken care of that leads to clinging behavior and fear of separation,17913
Court committed to treatment,17614
MH/SA of family member,17496
body image distortion,17465
other or unspecified hallucinations,17366
daytime fatigue,17301
"reduced ability to focus, or sustain attention",17297
disconnected,17268
impaired social functioning,17163
social support made up off other substance abusing people,17026
Abuse of drugs and alcohol,17006
impaired memory or impaired ability to learn new material,16823
unsteady gait,16701
lack of remorse (rationalizing injury to others),16579
panic attacks (discrete period of intense fear),16562
excessively inhibited social responses,16334
suspicious,15909
work or academic inhibition,15780
grief stricken,15724
caretaker sexual abuse,15686
headaches,15590
impairment in attention or memory,15574
molested,15556
preoccupation with substance,15554
indiscriminate sociability with strangers,15503
lack of selectivity in choice of attachment figures,15355
fear of gaining weight or becoming fat,15253
poor grades,15249
pervasive pattern of grandiosity emotion and attention seeking,15228
deliberately engaged in fire setting with intention of causing serious damage,15225
pervasive pattern of disregard for other rights,15219
Gang involvement,15148
personality change aggressive behavior,15137
anxiety/worries about future events,15113
arguments,15003
uncoordinated,14919
Uncertain about sexual orientation,14870
flat affect,14545
beating,14527
Other Sexual Problems,14469
loss of appetite,14249
deceitful (lying to others),14213
"insomnia, initial",14199
purging,14134
Separated,13974
Divorce/impending divorce/separation,13939
DUI,13829
nihilistic delusions,13754
confusion,13717
non-compliance secondary to coping styles,13476
increased energy,13286
non-compliance secondary to other reason,13263
negative symptoms,13235
truancy,13174
psychomotor agitation,13168
persistent failure to initiate or respond to appropriately to most social interactions,13104
decrease in job/school performance,13006
recurrent excessive distress when separation from home/attachment figures anticipated,12939
history of incarceration,12939
History of Incarceration,12887
anger,12822
suicidal thoughts not present,12814
violent thoughts not present,12773
repeated voiding of urine into bed or clothes,12721
decreasede appetite,12620
pressured speech,12601
poor relationship with sibling,12551
history of conviction,12496
Domestic violence,12458
poor/impaired judgment,12365
silent reading errors in comprehension,12277
fever,12206
somatic concerns,12173
persistent and excessive worry about separation or losing attachment figures,12108
forced someone into sexual activity,12036
persistent non-bizarre delusions with mood episodes,11971
sexual coercion,11918
Exposure to sexual assault,11874
consistent irresponsibility repeated failure to honor financial obligations,11822
decreased libido,11793
thoughts of death,11749
sibling rivalry,11728
stole while confronting a victim,11710
exposure to sexual assault,11671
disability,11660
inadequate finances,11640
indecisiveness,11609
CPS/APS involvement,11588
lack of spontaneous make-believe play,11586
patient has tried to quit,11512
fasting to prevent weight gain,11367
other impaired behavior,11330
extreme attempts to obtain support from others,11184
lying,11076
Infrequent housing,10987
daytime sleepiness,10921
exposure to physical assault,10904
attempt to cut down substance use,10850
difficulty making decisions without reassurances,10849
Pain,10836
undue influence of body weight or shape on self-evaluation,10830
uncomfortable being alone,10823
failing grades,10803
other reading symptoms,10777
fear of loosing control,10691
psychosis,10672
poor anger control,10666
guilt,10526
non-compliance secondary to personality traits,10514
physical abuse,10511
other self-damaging or self-mutilating behaviors,10436
persistently and excessively fearful or reluctant to be alone or without attachment figures at home,10433
drug seeking behavior,10297
Lack of recovery based social group,10268
persistent reluctance or refusal to sleep without being near attachment figure,10229
History of Arrest,10195
stealing,10189
reluctance or refusal to go to school for fear of separation,10177
Partner Relational Problem,10147
physical complaints,10143
stereotyped use of language,10116
Exposure to other hostility,10106
personality change disinhibition,10103
"pervasive pattern with orderliness, perfection and interpersonal control",10056
preoccupied with fear of being left to care for themselves,10001
Overextended,9967
increased appetite,9906
sexual abuse,9869
death or loss of family member,9824
personality change paranoid,9779
snoring,9632
has been dry at night at some time,9620
personality change marked apathy and indifference,9526
difficulty disagreeing with others for fear of disapproval,9366
loose associations,9327
Inability to find work,9257
postpartum psychosis,9240
Arrest or incarceration,9157
weight loss,9130
peer pressure encouraging substance abuse,9121
unsupportive family,9078
silent reading slowness,9055
rejection sensitivity,9053
difficulty falling or staying asleep,9048
persistent and excessive worry about possible harm befalling attachment figures,8959
yawning,8934
anxiety about- other,8869
unable to take responsibility,8867
lack of recovery based social group,8867
facial motor tics,8779
mute in other social situations,8771
fired from job,8737
Exposure to AOD in home environment,8637
deficits in ADL's,8614
loss of job,8610
client currently under the influence,8576
personality change affective lability,8512
boredom,8439
believes in IOP potential,8423
personality change suspiciousness,8399
Inability to maintain employment,8356
anxiety/worries about money,8320
rapid speech,8280
threat of incarceration,8201
oral reading slowness,8148
expansive mood,8141
sound distortions,8133
Chronic non-life threatening med condition,8114
repeated complaints of physical symptoms in anticipation of separation,8095
"insomnia, middle",8040
difficulties with reading,8030
Leisure activities are predominately drug related,8023
poor judgment,8010
non-compliance secondary to personal values,7981
criminal system,7971
sense of entitlement,7937
cut self,7927
memory disturbance,7846
suspiciousness or paranoid,7779
inadequate social support,7733
impaired occupational functioning,7653
mute at school,7640
seeks another relationship when one ends,7638
has been dry during day at some time,7615
incarceration,7604
diffuse attachments indiscriminate sociability inability to exhibit selective attachments,7589
impulsivity,7558
refusal to maintain body weight at normal level for weight and size,7527
arrogant haughty behavior/attitude,7509
vandalism,7479
Living with family members,7456
Inadequate social support,7394
impaired ability to learn new material,7391
bereavement,7390
self-induced vomiting to prevent weight gain,7374
anticipatory anxiety- other,7369
"suspect other are deceiving, exploiting, harming",7366
Loss of family income,7342
poor insight (lack of awareness),7323
threatening,7318
spouse beating,7312
preoccupation with delusion or frequent auditory hallucinations,7296
"sense of numbing, detachment or absence of emotional response",7260
Is physically active,7260
grandiose sense of self-importance,7238
No adverse medical conditions,7214
a hypersensitivity to negative evaluation,7195
Court ordered drug testing,7190
other written impairments,7188
other phonological symptoms,7171
inappropriate guilt,7165
difficulty initiating projects,7151
anxiety/worries about competence or performance,7134
hand tremor,7097
loneliness,7091
sound substitutions,7086
maladaptive pattern of other or unknown substance use,7078
aphasia,7029
nervous,7025
difficulties with speech,7011
easily influenced by others / easily influenced by circumstances,6978
Lower Back Pain,6976
fluctuating course,6961
back pain,6947
pounding heart,6929
binge eating in a discrete period of time < 2 hours,6896
defaulting on legal responsibilities,6857
Chronic life-threatening med condition,6812
abdominal pain,6806
disturbance of consciousness,6768
sexual abuser,6741
Lack of transportation,6722
on parole,6667
fear of harming others,6641
withdrawal - develop clinically significant distress,6619
Exposure to incest/molestation,6604
inappropriate affect,6604
sexual assault,6577
doubts trustworthiness/loyalty of friends,6559
intense anxiety,6504
other sibling relational problems,6463
odd thinking or speech,6408
Diagnosed or Treated for Mental Illness,6325
Poor money management/savings,6312
change in appetite,6303
impaired ability to spell,6299
hidden or threatening meaning in remarks/events,6299
depersonalization,6277
eating other non-nutritional items,6274
fear of confiding information will be used against them,6269
Lack of social interaction,6264
perceives attacks on character/reputation,6244
Inadequate finances,6205
anxiety/worries about past behavior,6171
dysphoric or depressed mood,6165
preoccupied with being criticized or rejected,6161
affective flattening (reduced emotional expression),6155
impairment in social function,6133
less need for sleep,6100
lethargy,6100
financial neglect,6098
behind in loan payments,6097
psychomotor retarded,6056
passage of feces in inappropriate places,6049
enuretic outside of home,6033
reckless driving,6030
"preoccupied with details, lists, rules, order",5989
eating manufactured objects,5975
extreme poverty,5974
sexual assaultive,5971
able to contract for safety,5971
eye blinking,5959
Chaotic Atmosphere at home,5958
Occupational Problem,5955
few friends or confidants,5954
tangential,5929
Difficulty with sleep.,5916
other sexual abuse of a child,5908
sound omissions,5884
laxative abuse to prevent weight gain,5875
facial grimacing,5869
throat clearing,5861
"emotional coldness, detachment, flattened affect",5854
need for admiration,5848
other relational problems,5842
patient has two or more identities/personalities,5826
elevated mood,5817
MH/SA problems w/spouse,5799
chaotic atmosphere at home,5780
repeated voiding of urine into bed or clothes (voluntarily or involuntarily),5741
difficulty initiating or maintaining sleep,5735
suicidal plan,5720
frustration,5698
unexplained physical symptoms,5667
"views self as socially inept, personally unappealing, inferior to others",5667
chooses solitary experience,5647
inappropriate or constricted affect,5640
"hair-pulling, scalp",5624
tingling,5608
other mathematical impairments,5604
Parole/juvenile probation,5601
vivid dreams,5598
"inflexible, rigid, and stubborn",5593
behavioral change aggressive,5589
odd beliefs or magical thinking,5559
two or more of these identities/personalities control ones behavior,5555
without behavioral disturbance,5545
"difficulty with interpersonal intimacy, fear of being shamed",5534
motor tics of the head,5523
derealization,5522
lack of close friends,5517
impaired ability to conceptualize mathematical operations,5507
discord with teachers or classmates,5506
difficulties with mathematics,5491
removal from the home,5487
fear of harming oneself,5462
irresponsible,5445
health problems in family,5445
"Family interaction jeopardizes patient""s safety/stability",5438
panic attack symptoms,5436
physical fights,5424
lives on street,5388
feeling faint,5386
Sibling Relational Problem,5381
difficulty breathing,5373
learning disability,5372
Homeless,5368
special classes,5367
Fired from job,5358
Unemployment,5338
takes pleasure in few if any activities,5323
feeling dizzy,5295
unusual perceptual experiences,5285
laid off from job,5256
oral reading distortions,5248
Death or loss of family member,5242
poor relationship with friends,5230
inappropriate aggressive behavior,5228
impulsiveness,5226
dissociative disorder symptoms,5220
reluctant to take risks/try because of fear of embarrassment,5186
inability to recall personal information two extensive to be explained by forgetfulness,5182
Looking for work,5179
Isolated,5176
Unsafe Environment,5170
unprotected sex,5155
suicidal,5123
deficits in hygiene,5092
Discord with Family/Friend,5067
nausea or vomiting,5047
does not enjoy/desire close relationships,5031
anxiety about attending social gatherings,5011
"irritability, frustration or anger",5002
unwilling to get involved w/ people unless certain they will be liked,4997
oral reading omissions,4984
"elevated, expansive mood",4983
inhibited in new relationships because of feeling of inadequacy,4974
Social support made up off other substance abusing people,4972
observed movements of legs,4966
broken words,4965
weight gain,4943
disturbance develops over a shot period of time,4933
impaired penmanship,4921
leisure activities are predominately drug related,4916
reading achievement as measured by standardized test is substantially below age/IQ expectations,4900
nausea,4865
Other legal issues,4862
efforts to avoid abandonment,4860
significant change in appetite,4842
repeated nightmares involving separation theme,4836
death or loss of friend,4829
diuretic abuse to prevent weight gain,4827
"dissociative episodes (i.e. dissociative trace, LOC not due to GMC Ganser's)",4825
diurnal enuresis,4803
"impulsive, self-damaging (i.e. spending, sex, substance abuse,  reckless driving,  binge eating)",4802
"insomnia, terminal",4793
mute at friends/neighbors,4792
Agitated,4784
subjective complaints of restlessness,4779
History of Trauma (mental or physical),4774
excessive social anxiety,4756
depression worse in a.m.,4744
aggressive,4721
"loss of interest, pervasive",4709
sound prolongations,4708
self mutilation,4697
motor tics of the extremities,4683
violence,4670
impaired ability to conceptualize mathematical terms,4608
Negative peer relationships,4597
hostility,4576
apnea,4563
impaired ability to understand mathematical terms,4547
Isolative/Withdrawn,4546
delirium,4544
apraxia,4537
Drug Related Crimes,4527
Juvenile delinquency,4509
self-induced vomiting,4502
History of Conviction,4501
dealing drugs,4490
living with an active addict,4484
increased tension before pulling out one's hair,4467
coughing,4448
recurrent dreams/nightmares reliving trauma,4384
Significant other an active substance abuser,4376
"motor symptoms (aphonia paralysis, localized weakness)",4366
"pleasure, gratification/relief when pulling hair",4352
nocturnal suffocation,4333
initial insomnia,4318
inability to sit still,4317
stupor or coma,4296
indifferent to praise/criticism,4295
"lack of empathy, unwilling to identify with feelings of others needs",4290
impaired punctuation,4285
incontinent of feces outside of home,4260
enduring pattern can be traced back to adolescence early adulthood,4260
impaired ability to follow sequence of mathematical steps,4256
impairment in occupational function,4255
shoulder shrugging,4254
hyperactive,4243
other verbal tics,4226
auditory command hallucinations,4226
patient lives in unfavorable environment,4203
impaired paragraph organization,4191
anxiety about- being in a crowd,4190
repeated passage of feces into inappropriate places (voluntarily or involuntarily),4180
exposure to incest/molestation,4178
agnosia,4161
Legal problems of family members,4116
Incarceration,4087
neck jerking,4085
psychomotor retardation,4077
change in cognition - disorientation,4073
sniffing,4064
dry mouth,4056
Unsupportive friends,4048
consistent failure to speak in social situations,4044
slow rate of language development,4043
Lack of positive role model,4035
Lack of age appropriate peer relationships,4022
hypersexual,4010
antisocial behavior,4009
envious of others or believes that others are envious,3988
often has difficulty sustaining attention in tasks,3982
often does not follow through on instructions,3977
financial indiscretion,3955
auditory hallucinations unspecified,3891
Child Protective Services (CYFD) involvement,3882
unsuccessful efforts to control or stop gambling,3876
lack of job opportunity,3860
sound and syllable repetitions,3831
intense behaviors involving sexual activity with prepubescent child,3829
gambles to escape problems,3817
middle insomnia,3816
family believes in IOP potential,3804
motor tics of the trunk,3788
hypertension,3756
impaired ability to recognize mathematical symbols,3723
suicide attempt- by overdose,3721
lack of reactivity,3702
Victim of Abuse,3690
mind going blank,3682
reluctant to delegate tasks,3679
suicidal intent,3673
crying,3662
self-dramatization/theatrical,3661
bipolar disorder,3652
preoccupied with gambling,3652
guilty,3649
impaired ability to read mathematical signs,3649
Exposure to disaster,3646
"fantasies of grandeur, power, unlimited success, beauty, or ideal love",3645
substance related disorder symptoms,3634
ideas of reference,3631
lies to others to conceal gambling,3630
impaired ability to learn multiplication tables,3610
Live in Motel,3603
"Increased irritability, outbursts of anger or extreme fussiness, or temper tantrums.",3600
rapid pulse,3588
grunting,3583
suicidal behavior,3577
over-exercise to prevent weight gain,3563
delusions are the predominant feature,3562
failure to use developmentally expected speech sounds that are appropriate for chronological age,3561
interjections,3555
believes he is special and can only be associated with other special people,3554
tightness,3553
Citation,3550
impaired ability to name mathematical terms,3487
abuse,3483
repeated arrests for breaking the law,3474
No friends,3471
Current fulltime employment,3469
can't stay asleep,3464
behavior or appearance that is odd eccentric or peculiar,3461
chases losses,3457
violent crimes,3447
shame,3438
head pain (headache),3430
maladaptive pattern of hallucinogen use,3426
No Academic Problems,3414
circumstantial thoughts,3407
non-compliance secondary to denial of illness,3405
tremor resting,3396
change in cognition - hallucinations,3380
occupational problems,3365
dissociative amnesia,3349
increased startle response,3349
recurrent pulling out of one's own hair with noticeable hair loss,3335
day time fatigue,3331
parkinsonian tremor,3326
word-finding difficulties,3320
reduction awareness of surroundings (daze),3309
daily attacks of sleep,3306
starvation,3301
impaired memory,3285
ideal body weight less than 85% of expected,3277
Peer pressure encouraging substance abuse,3273
sleep changes,3272
lack of vocational skills,3254
inappropriate anger,3252
"overly conscientious, scrupulous, inflexible about morality values",3249
limited vocabulary,3243
irritable/angry,3229
Homelessness,3229
unsafe sex,3225
change in cognition - memory deficit,3224
No Housing Problems,3211
repeating words,3194
No Relationship Problems,3194
inappropriate behavior,3177
decrease ability to work,3168
other symptoms of encopresis,3157
fear of gaining weight,3140
Failing grades,3130
No Traumatic Problems,3117
No Legal Problems,3093
fear/avoidance of abandonment,3075
upcoming trial,3067
acute onset of symptoms < 10 minutes,3060
involuntary rhythmic movement of extremity,3058
disoriented,3053
talkative,3047
relies on others for money for gambling,3046
oppositional,3039
smearing,3031
fear of going crazy,3030
lack of insight,3020
often avoids tasks requiring sustained mental effort,3013
inadequate housing,3004
snorting,3004
numbing/detachment,2993
problems associated with divorce,2991
unable to handle finances,2984
hypotension,2980
sexually dissatisfied,2976
palilalia (repeating sounds over and over),2970
Rampant drug use in neighborhood,2969
GI pain,2956
feeling lightheaded,2955
easily influenced by others/easily influenced by circumstances,2944
Death/Suicide of family member,2932
errors in selection and ordering of sounds,2929
"mania, period of persistently elevated or irritable mood",2923
"CNS disturbance (seizures, fatigue)",2919
withdrawal - develop syndrome due to cessations,2916
sibling relationship problems,2914
limited speech,2903
difficulty understanding sentences,2902
impatient,2894
fear of becoming fat,2890
demanding,2889
cold intolerance,2889
rapid shifting/shallow expression of emotion,2888
personality change irritable,2877
sleep disruption leading to hypersomnia or insomnia,2877
other crimes,2872
over eating,2869
Difficulty concentrating.,2852
other enuresis symptoms,2844
phrases out of context,2842
auditory hallucinations of multiple voices,2836
anemia,2835
self-consciousness,2822
self-conscious,2820
decreased ability to do work,2817
intense irritability,2799
Imprisonment,2793
excessively devoted to work (workaholic),2786
audible or silent blocking,2773
impaired ability to add in carried numbers,2773
impaired coordination or balance,2770
other motor tics,2759
difficulty understanding words,2731
Poor peer relationships,2729
change in behavior,2727
interpersonally exploitive (takes advantage of others),2715
Headaches,2698
rocking from foot to foot,2693
No Marital Problems,2685
difficult work conditions,2680
"pupillary dilatation, piloerection, or sweating",2678
Repeated nightmares. Content may or may not be linked to the traumatic event,2666
Exposure to robbery,2644
coprolalia,2640
abusive atmosphere at home,2634
dissociative trance,2632
Poor environment,2604
Halftime employment,2600
impressionistic speech with little detail,2596
uncomfortable when not center of attention,2593
fidgety movements of legs,2589
