symptom,cnt,cluster
catatonic behavior,2077,21
catatonic excitement,186,21
paranoid,620,21
participates in high risk behavior and activities,1916,21
catatonic negativism,65,21
odd beliefs or magical thinking,5559,21
catatonic stupor,33,21
behavior or appearance that is odd eccentric or peculiar,3461,21
verbally monotone,92,21
catatonic posture,236,21
verbally aggressive behavior,1013,21
paranoid behavior,860,21
fatigue or loss of energy nearly every day,892,22
threat of incarceration,955,22
loss of drivers license,1234,22
memory intact,227,22
memory loss,664,22
threat of incarceration,170,22
threat of job loss,1752,22
loss of social skills  or adaptive behavior,2122,22
evidence of weight loss,876,22
loss of consciousness,1719,22
enduring pattern of inner experience and behavior that deviates form individual culture,35603,23
enduring deviation of impulse control,194549,23
enduring cognitive deviation of perception  interpretation of self  others  events,170168,23
enduring deviation of affective range  intensity  liability or appropriateness,197330,23
enduring pattern causes distress,2147,23
enduring deviation of interpersonal functioning,206324,23
enduring pattern is inflexible and pervasive,98535,23
depersonalization,6277,23
enduring symptoms,1095,23
occasional depersonalization,280,23
enduring pattern is stable of long duration,1374,23
enduring deviation of inner experience and behavior,543,23
enduring pattern can be traced back to adolescence early adulthood,4260,23
derealization  depersonalization,62947,23
view self as inferior to others,30,24
view self as socially inept,19,24
self reproach,7,24
unsafe to care for self,7,24
view self as personally unappealing,74,24
burn self,17,24
self contemptuous,107,24
self righteous,36,24
result in self inflicted injury,19,24
self destructive,216,24
self condemnation,98,24
self effacing,65,24
views self as socially inept  personally unappealing or inferior,18,24
often blames others for his her mistakes,766,25
often blames others for his her behavior,750,25
often drops things,386,25
often avoids tasks requiring sustained mental effort,3013,25
often inappropriately climbs,206,25
often actively defies adults  requests rules,1021,25
often bored,244,25
often has subjective feeling of restlessness,2473,25
often makes careless mistakes,2457,25
often has difficulty sustaining attention in tasks,3982,25
often inappropriately runs about,1069,25
often does not follow through on instructions,3977,25
often squirms in seat,845,25
often on the go or acts as if driven by a motor,835,25
difficulty with excessive sleeping either prolonged or daytime,411,26
difficulty with showering  bathing,168,26
diminished interest  depression psychiatric signs and symptoms,10,26
difficulty uniting words to form a sentence,153,26
difficulty recognizing objects or people  agnosia ,221,26
diminished ability to think or concentrate or indecisiveness  or difficulty in solving problems  responding to caregivers  sustaining attention ,215,26
difficulty coping with new tasks,153,26
difficulty repeating phrases,214,26
difficulty with calculations,387,26
impaired ability in paying bills,45,27
impaired short term memory  dementia psychiatric signs and symptoms,55,27
impaired serial   s,65,27
impaired orgasm,22,27
visually  impaired,9,27
impaired ability to drive,40,27
visually impaired,35,27
impaired ability to work,62,27
hearing impaired,18,27
impaired use of facial expression in social interaction,78,27
impaired ability to cook,28,27
impaired immediate memory,72,27
impaired use of body posture in social interaction,57,27
written achievement as measured by standardized test is substantially below age iq expectations,1577,28
expressive language achievement as measured by standardized test is substantially below age iq expectations,562,28
difficulties with postural control and tone,34,28
re reading or re writing something until right,148,28
reading achievement as measured by standardized test is substantially below age iq expectations,4900,28
expressive and receptive language achievement as measured by standardized test is substantially below age iq expectations,1333,28
difficulties with reading,47,28
mathematics achievement as measured by standardized test is substantially below age iq expectations,936,28
feeling of choking,77422,29
feeling of hopelessness,77480,29
avoids inhibited in new relationships,118,29
feeling faint,5386,29
inhibited,10,29
feeling dizzy  light headed  faint  unsteady,129992,29
feeling unsteady,1765,29
feeling dizzy,5295,29
inhibited in new relationships because of feeling of inadequacy,4974,29
feeling lightheaded,2955,29
difficulty delegating tasks,90,30
difficulty following commands,107,30
difficulty remembering days  dates  time  dementia psychiatric signs and symptoms,55,30
difficulty making decisions,70,30
difficulty in fine motor coordination    i       note  often associated with play and experience with toys and other objects that have been limited by the child s hypersensitivity ,142,30
difficulty copying drawing,99,30
difficulty recovering from frustration or disappointment,127,30
difficulty adapting to changes in routines or plans,128,30
difficulty working with others,105,30
difficulty initiating or sequencing activities,111,30
anxiety  avoidance of  public speaking,62,31
preoccupied with lists,1,31
preoccupied with rules,9,31
fear of confiding information,25,31
preoccupied with order,14,31
reluctance or refusal to go any place for fear of separation,43,31
fear and anxiety avoidance  of animals,45,31
preoccupied with organization,13,31
preoccupied with fear of being alone,27,31
fear and anxiety avoidance  of flying,35,31
inadequate lubrication swelling response,51,32
inadequate healthcare services,177,32
inadequate erection,47,32
inadequate health insurance,8,32
inadequate health care for client and family,214,32
inadequate supervision of children,102,32
inadequate transportation,156,32
inadequate furniture,8,32
inadequate study habits,84,32
inadequate genital lubrication,10,32
pregnancy symptoms,39,33
other nms symptoms,40,33
extra pyramidal symptoms,45,33
vomiting throughout pregnancy,26,33
delirium symptoms,40,33
vomiting during pregnancy,6,33
schizophrenic symptoms,57,33
dementia symptoms,21,33
phobia symptoms,8,33
symptoms by proxy,101,33
intentional production of symptoms,25,33
living alone,55,34
family history of legal problems,1679,34
tired of living,212,34
illiteracy family,2,34
unsupportive family,11,34
tired,126,34
living with a dealer,682,34
living with a dealer,700,34
living with extended family,791,34
living alone,442,34
scar s appearance,203,35
hand s appearance,106,35
dysomnia other,106,35
mouth appearance,257,35
hand finger shaking,32,35
eyebrows appearance,238,35
nose appearance,234,35
jaw s appearance,100,35
fidgets with hands feet,109,35
shoulder s appearance,209,35
lips appearance,120,35
wrinkles appearance,173,35
feet s appearance,165,35
appearance of poorly coordinated gait or trunk movements after age   months,268,35
anxiety about  being in places where escape is impossible,250,36
separation anxiety,196,36
anxiety about  traveling in an automobile,198,36
anxiety  avoidance of  test taking,198,36
anxiety  avoidance of  interacting with strangers,183,36
general anxiety disorder symptoms,191,36
anxiety about test taking,221,36
anxiety about traveling in automobiles,185,36
no anxiety about being in places where escape is impossible,165,36
anxiety about traveling in planes,159,36
anxiety about traveling in buses,146,36
bizarre delusions,2355,37
paranoid delusions,199330,37
somatic concerns,12173,37
erotic delusions,25514,37
jealous,3,37
illusions,547,37
nihilistic delusions,13754,37
persecutory delusions,105476,37
bodily illusions,5,37
delusions are the predominant feature,3562,37
paranoid ideation,1471,37
jealous delusions,28625,37
grandiose delusions,58341,37
no delusions,174,37
somatic delusions,42459,37
religious delusions,42011,37
mixed delusions,20229,37
guilty,3649,37
delusions,271250,37
suspiciousness or paranoid,7779,37
guilty delusions,34827,37
hallucinations visual,166,38
threatening hallucinations,115,38
olfactory hallucinations unspecified,12,38
hallucinations,26,38
elated,1,39
cogwheeling,81,39
euphoric,82,39
excessive anxiety and worry,325474,39
euphoria,513,39
confusion,13717,39
fever,12206,39
uneasy,115,39
mania,27345,39
excitement,126,39
nervous,7025,39
panic attacks,65957,39
worry of the implications of panic attacks,96878,39
jittery,47285,39
nervousness,104432,39
apprehension,378,39
anxiety,144889,39
worry,154430,39
anticipatory anxiety  worry about panic attacks,102683,39
impaired ability to cluster objects into groups,469,40
impaired expressive and receptive language develop with psychomotor retardation,545,40
impaired ability to name mathematical terms,3487,40
impaired short term memory,931,40
impaired ability to recall new material,877,40
impaired ability copy numbers,2259,40
impaired memory,3285,40
impaired memory  retrograde amnesia ,1822,40
impaired coordination or balance,2770,40
impaired ability to add in carried numbers,2773,40
unknown etiology,1,41
evidence that other or unknown substance is the etiology of disturbance,3,41
evidence that the etiology is due to alcohol intoxication,2,41
evidence that the etiology is due to opioid intoxication,2,41
unknown taste,1,41
behavior of exposing self,1,41
evidence that etiology is due to the persisting effects of sedative  hypnotic  or anxiolytic,2,41
other or unknown sexual symptom,3,41
crying spells  depression behavioral signs and symptoms,2,41
involuntary choreiform movement of jaw,276,42
involuntary athetoid movement of jaw,392,42
involuntary athetoid movement of extremity,476,42
involuntary athetoid movement of tongue,833,42
involuntary choreiform movement of extremity,272,42
observed movements of legs,4966,42
involuntary commitment,1065,42
involuntary rhythmic movement of extremity,3058,42
involuntary choreiform movement of tongue,360,42
involuntary rhythmic movement of tongue,1104,42
irritating,1452,43
annoying,32,43
annoyance,4,43
annoyed,6,43
awkward,49,43
frustrating,163,43
rude,36,43
bothersome,39,43
aggravating,1,43
often bullies  threatens or intimidates others,59756,44
often deliberately annoys people,181566,44
often blames others for his her mistakes behavior,233477,44
often initiates physical fights,59823,44
often stays out at night despite parental prohibitions,29340,44
often truant from school,37182,44
often spiteful or vindictive,135224,44
often touchy easily annoyed by others,248652,44
enduring pattern causes distress,7,45
enduring deviation of impulse control,4,45
enduring deviation of affective intensity,1,45
coprophilia,2,45
enduring pattern causes social impairment,3,45
enduring deviation of affective appropriateness,2,45
enduring cognitive deviation of self,6,45
enduring deviation of interpersonal functioning,3,45
enduring pattern causes professional impairment,5,45
violent thoughts not present,12773,46
suicidal threats,2139,46
suicidal ideation,1748758,46
no homicidal ideation,2,46
violent crimes,3447,46
no homicidal ideation,762,46
suicidal plan,5720,46
suicidal behavior,3577,46
suicidal,5123,46
violent homicidal ideation,1985,46
suicidal intent,3673,46
suicidal ideation,92425,46
homocidal or violent ideation,803483,46
suicidal thoughts not present,12814,46
oriented to purpose,2,47
oriented to time,18,47
oriented to situation,35,47
oriented to place,2,47
oriented to person,2,47
oriented to person,35,47
oriented to time,2,47
not oriented to person,18,47
confusion and disorientation on awakening,1,47
oriented to situation,1,47
disorientation time  place or person  delirium psychiatric signs and symptoms,1,47
person rapidly become oriented and alert,1,47
disorientation time  place or person,39,47
sexual disorder symptoms,18,48
sadism  sexual,21,48
other sexual thoughts,26,48
sexual thoughts about children or incest,31,48
anxiety about bridges,121,49
marked impairment in ability to initiate or sustain conversation,26746,49
avoidance of  distress from  being in a crowd,930,49
avoidance of distress from  being in a crowd,654,49
marked distress,73433,49
avoidance,1596,49
avoidance or slow engagement in new experiences or sensations,148,49
anxiety  avoidance of  expressing disagreement  disapproval,117,49
anxiety  avoidance of  conversing on the telephone,124,49
anxiety about returning items to a store,107,49
marked impairment in nonverbal behaviors  eye to eye gaze  facial expression  body posture ,89187,49
anxiety  avoidance of  making eye contact,118,49
anxiety about being heard by others while speaking on phone,1134,50
anxiety about dealing with authority figures,1210,50
anxiety about performance in public,1094,50
anxiety disorder symptoms,1490,50
anxiety  avoidance of  other social situations,1342,50
anxiety about making eye contact,731,50
anxiety or depression,799,50
anxiety about expressing disagreement disapproval,1098,50
anxiety about other performance situations,1278,50
hyperamylasemia,861,50
anxiety about other social situations,1683,50
anxiety about being outside the home alone,569,50
anxiety about entering a room,861,50
anxiety worries about appearance,1246,50
anxiety worries about going crazy,974,50
enduring deviation of inner experience and behavior,153,51
intermittent aloofiness,84,51
no grossly disorganized behavior,184,51
no enduring deviation of inner experience and behavior,92,51
intermittent simple intentional gestures,38,51
enduring patterns of behavior,36,51
intermittent organization of behavior  mixed pattern of sensory reactivity,122,51
grossly disorganized behavior  thought disorders behavioral signs and symptoms,8,51
disorganized behavior as a consequence of sensory stimulation,287,51
enduring deviation of affective lability,8,51
disorganized speech  thought disorders psychiatric signs and symptoms,2,51
recent ingestion of amphetamine,265,52
recent loss in family,74,52
judgment intact,3,52
recent loss in family,382,52
recent ingestion of hallucinogen,3,52
recent ingestion of cocaine,196,52
recent ingestion of phencyclidine  pcp ,45,52
recent cessation or reduction of alcohol that has been heavy and prolonged,2,52
recent ingestion of cannabis,318,52
recent ingestion of opioid,310,52
intense arousal involving being humiliated beaten  bound  or made to suffer,123,53
intense desire involving being humiliated beaten  bound  or made to suffer,113,53
intense urges involving being humiliated beaten  bound  or made to suffer,128,53
intense behaviors involving nonliving objects,95,53
intense urges involving touching and rubbing against a non consenting person,120,53
intense behaviors involving touching and rubbing against a non consenting person,124,53
intense arousal involving nonliving objects,94,53
intense behaviors involving observing inspecting person disrobing or engaging in sexual activities,132,53
intense desire involving touching and rubbing against a non consenting person,123,53
intense desire involving nonliving objects,99,53
low energy  fatigue   depression psychiatric signs and symptoms,15,54
loss of job,269,54
loss of independence,133,54
loss of energy,81,54
loss of bowel or bladder control,249,54
exhibits arrested development  regression  or loss of previously achieved developmental milestones,228,54
fatigue or loss of energy ,211,54
threat of job loss,155,54
relies on others for money for gambling,3046,55
others complain about aod use,79285,55
use larger amounts of aod than intended,79286,55
unwilling to recognize others feelings,238,55
reckless driving,6030,55
interrupts or intrudes on others,4,55
envious,3,55
parole violation,376,55
unwilling to recognize others needs,185,55
believes others are exploiting him her,10,55
reckless disregard for safety of others,11,55
blames others for his her misbehavior,1542,55
believe others are harming him her,6,55
believes others are deceiving him her,5,55
episodes of assaulting others,41557,55
bullies,34,55
violation of others,33781,55
violation,116,55
magical control over others,2,55
deceitful,35,55
unwilling to identify with others needs,33,55
episodes of property destruction,36836,55
envious of others or believes that others are envious,3988,55
reckless disregard for safety of others or self,20914,55
rationalizing injury to others,1,55
blames others for his her mistakes,683,55
deceitful  lying to others ,14213,55
bullies  threatens or intimidates others,61,55
non restorative sleep,2212,56
non supportive environment,132,56
non compliance secondary to mental illness,1213,56
other medication movement syndromes or symptoms,48,56
medication,2,56
non compliance secondary to cultural beliefs,700,56
non pressured speech,112,56
medication non compliance,365,56
non compliance secondary to side effects,1430,56
non bizarre delusions,1419,56
non compliance secondary to expense,1854,56
anxiety about eating in front of others,530,57
anxiety about conversing on the telephone,522,57
anxiety about interacting with opposite sex,386,57
anxiety  avoidance of  other,306,57
anxiety about writing in front of others,382,57
anxiety about standing in a line,371,57
anxiety about  traveling in a plane,409,57
anxiety about other things,428,57
anxiety about  being outside the home alone,362,57
anxiety  avoidance of  dealing with authority figures,347,57
no unexplained physical symptoms,116,58
diuretic abuse to prevent weight gain,4827,58
emotional neglect of a child,710,58
physical appearance to draw attention to self,1802,58
laxative abuse to prevent weight gain,5875,58
physical abuse of a child,1642,58
acute akathisia not associated with neuroleptic,32,58
acute physical illness,167,58
other physical symptoms,865,58
acute dystonia,2,58
physical abuser,854,58
other physical abuse of an adult,236,58
delays in social communication,68892,59
other legal issues,4862,59
developmental delays,13,59
delays in language,41119,59
reduction awareness of surroundings  daze ,3309,59
ambivalent contradictory social responses,28119,59
delays in sentence structure,1734,59
social problems due to aod use,79286,59
reduction in social  occupational activities,38882,59
delays in social interactions or language or social communication prior to age  ,48840,59
legal problems due to aod use,79284,59
does not follow through on instructions,20,60
often has difficulty organizing tasks activities,451271,60
often has difficulty awaiting turn,389543,60
often fails to give close attention to details,469325,60
often fails to finish tasks,460166,60
often fidgets with hands feet,437692,60
often interrupts or intrudes on others,425713,60
often has difficulty sustaining attention in play activities,425351,60
often forgetful in daily activities,389921,60
often does not seem to listen when spoken to directly,470838,60
does not listen when spoken to directly,25,60
often inappropriately leaves seat,378396,60
often blurts out answers,352108,60
often talks excessively,348934,60
often on the go acts as if driven by a motor,348222,60
eating garbage,504,61
eating is disrupted,423,61
eating starch,726,61
eating wood plants,737,61
eating disorder symptoms,509,61
eating sand dirt,909,61
binge eating is in a discrete period of time     hours,46,61
eating disorder,68,61
self hitting,480,62
self loathing,235,62
self confident,299,62
self assured,497,62
cut self,7927,62
self mutilation,1234,62
self mutilation,4697,62
self induced vomiting,594,62
self dramatization   theatrical,272,62
other self damaging or self mutilating behaviors,10436,62
self induced vomiting,4502,62
self conscious,2820,62
self dramatization theatrical,3661,62
self induced vomiting to prevent weight gain,7374,62
inflated self esteem,1882,62
self consciousness,2822,62
self hating,882,62
loss of touch pain sensations,67,63
loss of libido,9,63
pulls out one hair,6,63
weight loss decreases appetite,20,63
marked  persistent fear of public social performance,23338,63
pulls out own hair,11,63
pulls out owns hair,20,63
hair loss,48,63
empty mood,23,64
bad mood,2,64
mood labile,1032,64
guilty mood,12,64
lonely mood,31,64
mood incongruent psychosis,5,64
frightened,2,64
mood congruent psychosis,63,64
anxious,522,64
anxious mood,694,64
ok mood,244,64
frightened mood,83,64
congruent mood,602,64
controlling,155,65
repetitive behaviors,126505,65
behaviors are aimed at preventing distress,131877,65
superstitious behaviors,33,65
eccentric behaviors,42,65
controlling behaviors,264,65
withdrawn behaviors,51,65
aggressive behaviors,480,65
problems with leaving parental control,160,66
religious,42,66
problems associated with conversion,22,66
problems with grades,54,66
other occupational problems,55,66
toileting problems,86,66
religious or spiritual problems,63,66
problems with literacy,78,66
other religious concerns,41,66
sufficient degree of interpersonal problems,6,66
relationship problems,227,66
cultural problems,4,66
housing problems,4,66
problems with regional geographic customs,285,66
inappropriate behavior,3177,67
distress when routines change,71,67
inappropriate sexual behavior,2186,67
disheveled inappropriate attire,1402,67
other suspicious circumstances,645,67
grade level inappropriate,11,67
inappropriate internet access,4,67
unkempt inappropriate clothing,20,67
disheveled,519,67
fantasies of grandeur,10,68
fantasies with fire,10,68
fantasies of power,178,68
dsythymia,119,68
fantasies involving sadism,35,68
fantasies of ideal love,860,68
fantasies of beauty,77,68
fantasies of unlimited success,119,68
bizarre postures,39,68
bizarre,111,68
bizarre fantasies,401,68
failure to use cultural resources,1,69
failure to give close attention to details,10,69
failure to conform to social norms,17,69
failure to resist impulses impulse to steal objects,1,69
failure to finish school work,11,69
dysomnia,5,69
failure to finish chores,2,69
failure to fulfill obligation at home  school or wor,1,69
failure to use spiritual resources,13,69
failure to resist impulses impulse to steal objects  impulse control signs and symptoms,5,69
anxiety worries about losing control,1785,70
anxiety  avoidance of  attending social gatherings,2186,70
anxiety disorder,1689,70
anxiety about public speaking,1686,70
anxiety about  being in a crowd,4190,70
anxiety about attending social gatherings,5011,70
anxiety about being in crowds,1723,70
excessive sleepiness,2546,70
anxiety about interacting with strangers,1964,70
excessive social anxiety,4756,70
pain,10836,71
local pain syndromes of lower limbs,1814,71
lower back pain,6976,71
abdominal pain,6806,71
joint pain,2210,71
visceral pain syndromes to trunk  chest  abdomen  rectum  genitalia  perineum ,1190,71
back pain,6947,71
extremity pain,1803,71
chest pain,1913,71
chest pain or discomfort,139622,71
gi pain,2956,71
other verbal tics,4226,72
multiple sclerosis,15,72
motor tics of the trunk,3788,72
other motor tics,2759,72
motor tics of the head,5523,72
motor vehicle accidents,685,72
multiple vocal tics,215,72
difficulties with motor planning,152,72
stays out at night despite parental prohibitions,11,72
facial grimacing,5869,72
facial appearance,872,72
derealization,5522,72
facial motor tics,8779,72
parental multiple partners,24,72
constant verbal arguments,2410,72
multiple placements,141,72
motor tics of the extremities,4683,72
multiple motor tics,464,72
lies to avoid obligations,64414,73
employer not supportive or recovery efforts,98,73
avoid thoughts feeling or conversations,504531,73
racing thoughts,47004,73
anenergy,840,73
avoid stimuli about trauma  thoughts,1590,73
avoid activities places or people,404158,73
efforts to avoid abandonment,4860,73
relative unresponsiveness to efforts of other to comfort,703,73
frantic efforts to avoid abandonment,85286,73
efforts to control or stop impulse,844,73
efforts to avoid activities  places  or people that arouse recollection of the trauma  including efforts to avoid thoughts  feelings  and conversations associated with the trauma ,1425,73
absence of addiction services,197,74
in school suspension,79284,74
decrease in job school performance,13006,74
suspension,49855,74
absence of high school diploma  ged ,18776,74
expulsion suspension,49,74
dropped out of school training,103,74
kicked out of school,1,74
skips school,140,74
expulsion,83046,74
suspension,46681,74
school tardiness absenteeism,17,74
absence of high school diploma  ged ,1344,74
absence of agoraphobia,314,74
incarceration,7604,75
history of incarceration,12887,75
history of conviction,12496,75
history of incarceration,12939,75
arrest or incarceration,9157,75
arrest or incarceration,18429,75
arrest,3,75
arrest,2,75
incarceration,4087,75
history of arrest,10195,75
hair pulling  pubic,710,76
tension before pulling hair,53,76
hair pulling  scalp,5624,76
hair pulling  eyelashes,1894,76
hair pulling,229,76
hair pulling  axillary,553,76
hair pulling  perirectal region,131,76
hair pulling  other unspecified regions,1169,76
hair pulling  eyebrows,2467,76
tension headache,28,76
unavailability of social service agencies,11,77
social developmental delays,15,77
unavailability of social service,12,77
social developmental delays,79,77
unavailability of social service agencies,1,77
social detachment,44,77
social developmental delays,97,77
hyper vigilant in social situations,2,77
fear and anxiety  avoidance  of flying,5,78
often argues with adults  disruptive disorders signs and symptoms,2,78
often angry and resentful  disruptive disorders signs and symptoms,2,78
reluctance or refusal to go elsewhere for fear of separation,3,78
often loses temper  disruptive disorders signs and symptoms,2,78
separation fear,3,78
intense fear on waking,1,78
fear of infidelity of spouse,1,78
intense behaviors involving cross dressing,1,78
persistent and excessive worry about untoward event s  befalling child and leading to separation,1,78
significant weight gain,2344,79
vague thought process,61,79
thought withdrawal,160,79
withdrawal   developed clinically significant distress,541,79
